all_rounder,batsman_strike_rate,bowler_strike_rate
AD Russell,182.332,17.209
SP Narine,164.273,19.49
HH Pandya,159.268,19.378
GJ Maxwell,154.676,27.3
CH Gayle,150.11,29.316
KA Pollard,149.876,19.029
YK Pathan,142.972,25.489
KH Pandya,142.45,26.511
JA Morkel,141.983,18.083
Harbhajan Singh,138.167,21.51
