batsman,avg_score,runs_scored,times_dismissed,season_played,
Iqbal Abdulla,97,97,1,8,
ML Hayden,44.63,1205,27,3,
KL Rahul,44.21,2741,62,7,
AB de Villiers,44,5016,114,13,
CH Gayle,43.99,5103,116,12,
DA Warner,43.83,5522,126,11,
JP Duminy,43.49,2131,49,8,
OA Shah,42.31,550,13,4,
LMP Simmons,41.74,1127,27,4,
KS Williamson,40.8,1673,41,6,
